Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2023-04-01,17:30,Chippa Utd,1–1,SuperSport,,Nelson Mandela Bay Stadium,Thokozani Mkhize,Match Report,
2023-04-01,20:00,AmaZulu,0–1,Moroka Swallows,,Moses Mabhida Stadium,Cedrick Muvhali,Match Report,
2023-04-02,15:00,Golden Arrows,0–0,Sekhukhune United FC,,Princess Magogo Stadium,Akhona Makalima,Match Report,
2023-04-02,17:30,TS Galaxy,1–2,Maritzburg Utd,,Mbombela Stadium,Jelly Chavani,Match Report,
2023-04-04,19:30,Sundowns,0–0,Cape Town City,,Loftus Versfeld Stadium,Facundo Andújar,Match Report,
2023-04-05,19:30,Marumo Gallants FC,3–1,Royal Eagles FC,,Toyota Stadium,Cedrick Muvhali,Match Report,
2023-04-07,19:30,SuperSport,2–0,TS Galaxy,,TUT Stadium,Akhona Makalima,Match Report,
2023-04-08,15:00,Richards Bay FC,0–1,Golden Arrows,,King Goodwill Zwelithini Stadium,Tshidiso Mkwanazi,Match Report,
2023-04-08,17:30,Chippa Utd,0–2,Orlando Pirates,,Nelson Mandela Bay Stadium,Masixole Bambiso,Match Report,
2023-04-08,17:30,Sekhukhune United FC,1–0,Maritzburg Utd,,Peter Mokaba Stadium,Cedrick Muvhali,Match Report,
2023-04-08,20:00,Kaizer Chiefs,1–1,Marumo Gallants FC,,FNB Stadium,Thokozani Mkhize,Match Report,
2023-04-09,15:00,Royal Eagles FC,3–1,Stellenbosch FC,,Chatsworth Stadium,Olani Kwinda,Match Report,
2023-04-09,15:00,Moroka Swallows,0–0,Sundowns,,Volkswagen Dobsonville Stadium,Jelly Chavani,Match Report,
2023-04-09,17:30,Cape Town City,2–2,AmaZulu,,DHL Stadium,Michael Mosemeng,Match Report,
2023-04-12,19:30,Marumo Gallants FC,3–1,Chippa Utd,,Thohoyandou Stadium,Sikhumbuzo Gasa,Match Report,
2023-04-12,19:30,Golden Arrows,1–1,Sundowns,,Sugar Ray Xulu Stadium,Buhlebendawo Jobela,Match Report,
2023-04-18,19:30,Marumo Gallants FC,0–0,SuperSport,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2023-04-21,19:30,Maritzburg Utd,1–1,Richards Bay FC,,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2023-04-22,15:00,Orlando Pirates,2–1,Cape Town City,,Orlando Stadium,Facundo Andújar,Match Report,
2023-04-22,15:00,TS Galaxy,1–1,Royal Eagles FC,,Mbombela Stadium,Xola Sitela,Match Report,
2023-04-22,17:30,Stellenbosch FC,3–0,Moroka Swallows,,Danie Craven Stadium,Philangenkosi Khumalo,Match Report,
2023-04-23,15:00,Sekhukhune United FC,1–0,Kaizer Chiefs,,Peter Mokaba Stadium,Sikhumbuzo Gasa,Match Report,
2023-04-23,17:30,SuperSport,2–1,AmaZulu,,Lucas Masterpieces Moripe Stadium,Christopher Kistoor,Match Report,
2023-04-25,15:00,Sundowns,1–0,Richards Bay FC,,Loftus Versfeld Stadium,Olani Kwinda,Match Report,
2023-04-27,15:00,Chippa Utd,0–1,Kaizer Chiefs,,Nelson Mandela Bay Stadium,Philangenkosi Khumalo,Match Report,
2023-04-27,17:30,Moroka Swallows,1–0,Maritzburg Utd,,Volkswagen Dobsonville Stadium,Masixole Bambiso,Match Report,
2023-04-29,15:00,Royal Eagles FC,1–2,Cape Town City,,Chatsworth Stadium,Cedrick Muvhali,Match Report,
2023-04-29,17:30,Stellenbosch FC,5–2,Golden Arrows,,Danie Craven Stadium,Buhlebendawo Jobela,Match Report,
2023-04-29,20:00,AmaZulu,2–0,Sekhukhune United FC,,Moses Mabhida Stadium,Facundo Andújar,Match Report,
2023-04-30,15:00,TS Galaxy,1–2,Orlando Pirates,,Mbombela Stadium,Olani Kwinda,Match Report,
2023-05-01,15:00,Kaizer Chiefs,1–2,Moroka Swallows,,FNB Stadium,Cedrick Muvhali,Match Report,
2023-05-02,19:30,SuperSport,0–0,Stellenbosch FC,,Lucas Masterpieces Moripe Stadium,Eugene Mdluli,Match Report,
2023-05-03,15:00,Orlando Pirates,1–1,Royal Eagles FC,,Orlando Stadium,Thando Ndzandzeka,Match Report,
2023-05-03,17:15,Sekhukhune United FC,1–1,TS Galaxy,,Peter Mokaba Stadium,Sicelo Velapi,Match Report,
