,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
189,21.0,Sat,2017-03-18,20:15,Baroka FC,2–2,Kaizer Chiefs,5000.0,Peter Mokaba Stadium,Victor Gomes,Match Report,
190,21.0,Sun,2017-03-19,15:30,Highlands Park,1–0,Maritzburg Utd,1000.0,Makhulong Stadium,Christopher Harrison,Match Report,
191,,,,,,,,,,,,
192,22.0,Sat,2017-04-01,15:00,Golden Arrows,2–1,Highlands Park,1500.0,Princess Magogo Stadium,Olani Kwinda,Match Report,
193,22.0,Sat,2017-04-01,15:00,SuperSport,0–1,Baroka FC,500.0,Mbombela Stadium,Naasif Moegamat Julius,Match Report,
194,22.0,Sat,2017-04-01,18:00,Bidvest Wits,2–0,Platinum Stars,750.0,BidVest Stadium,Victor Gomes,Match Report,
195,22.0,Sat,2017-04-01,18:00,Free State Stars,3–2,Orlando Pirates,10000.0,James Motlatsi Stadium,Phelelani Ndaba,Match Report,
196,22.0,Sat,2017-04-01,20:15,Kaizer Chiefs,2–1,Sundowns,60000.0,Soccer City,Victor Hlungwani,Match Report,
197,22.0,Sat,2017-04-01,20:15,Maritzburg Utd,2–1,Ajax Cape Town,3000.0,Harry Gwala Stadium,Kulasande Qongqo,Match Report,
198,22.0,Sun,2017-04-02,15:00,Polokwane City,0–1,Bloem Celtic,2000.0,Pietersburg Stadium,Bafana Mosia,Match Report,
199,22.0,Mon,2017-04-03,19:30,Cape Town City,4–1,Chippa Utd,2000.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
200,,,,,,,,,,,,
201,5.0,Wed,2017-04-05,19:30,Sundowns,0–0,Bloem Celtic,5000.0,Lucas Masterpieces Moripe Stadium,Naasif Moegamat Julius,Match Report,
202,,,,,,,,,,,,
203,23.0,Tue,2017-04-11,19:30,Baroka FC,2–1,Free State Stars,2000.0,Peter Mokaba Stadium,Naasif Moegamat Julius,Match Report,
204,23.0,Tue,2017-04-11,19:30,Chippa Utd,0–0,Polokwane City,5000.0,Nelson Mandela Bay Stadium,Phillip Tinyani,Match Report,
205,23.0,Tue,2017-04-11,19:30,Bidvest Wits,3–0,Golden Arrows,1500.0,BidVest Stadium,Christopher Harrison,Match Report,
206,23.0,Tue,2017-04-11,19:30,Orlando Pirates,2–0,Maritzburg Utd,5000.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
207,23.0,Wed,2017-04-12,19:30,Ajax Cape Town,1–0,Highlands Park,1500.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
208,23.0,Wed,2017-04-12,19:30,Bloem Celtic,0–2,Kaizer Chiefs,15000.0,Dr. Petrus Molemela Stadium,Lwandile Mfiki,Match Report,
209,23.0,Thu,2017-04-13,18:00,Sundowns,5–0,SuperSport,5000.0,Loftus Versfeld Stadium,Phelelani Ndaba,Match Report,
